metric,value
processed,35
analyzed,34
offers_prepared,17
fantasyland,10
rejected,3
pending,0
subdivides_counties_scraped,1
subdivides_fresh_leads,2
subdivides_listed_mls,1
nathan_processed,16
nathan_analyzed,11
nathan_offers,6
nathan_fantasy,3
nathan_rejected,2
erl_processed,11
erl_analyzed,11
erl_offers,5
erl_fantasy,3
erl_rejected,1
edcel_processed,8
edcel_analyzed,10
edcel_offers,4
edcel_fantasy,4
edcel_rejected,0
rezello_processed,
rezello_analyzed,2
rezello_offers,2
rezello_fantasy,0
rezello_rejected,0
flags,"4 analyzed properties unaccounted for in disposition buckets — reconciling."
